Date,Arrested,Domestic,Total,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
"Sunday, February 1, 2015",93,101,518,0.87,16.2,3.9,29,31,19
"Monday, February 2, 2015",117,74,468,0.05,1.8,18.1,15,19,6
"Tuesday, February 3, 2015",131,63,507,0.09,1.6,16.9,13,26,2
"Wednesday, February 4, 2015",179,81,576,0.02,0.3,16.1,21,25,4
"Thursday, February 5, 2015",188,78,568,0,0,15,7,15,-2
"Friday, February 6, 2015",233,87,692,0,0,14.2,17,31,13
"Saturday, February 7, 2015",249,121,676,0,0,14.2,29,41,18
"Sunday, February 8, 2015",199,110,614,0.01,0,9.1,36,39,25
"Monday, February 9, 2015",202,77,606,0,0,5.9,26,27,19
"Tuesday, February 10, 2015",210,75,626,0,0,5.9,25,33,14
"Wednesday, February 11, 2015",204,79,604,0,0,5.9,31,35,18
"Thursday, February 12, 2015",203,89,608,0,0,5.9,16,18,8
"Friday, February 13, 2015",229,87,629,0,0,5.1,11,26,5
"Saturday, February 14, 2015",186,123,598,0,0.2,5.1,19,27,1
"Sunday, February 15, 2015",190,131,550,0.03,0.2,5.1,4,15,-3
"Monday, February 16, 2015",181,91,536,0,0,5.1,12,18,5
"Tuesday, February 17, 2015",194,96,594,0,0.1,5.1,17,19,8
"Wednesday, February 18, 2015",147,91,508,0,0,5.1,7,8,-3
"Thursday, February 19, 2015",141,78,463,0,0,5.1,-2,4,-8
"Friday, February 20, 2015",207,96,649,0.01,0.2,5.1,3,18,-7
"Saturday, February 21, 2015",217,109,651,0,0,5.1,22,32,17
"Sunday, February 22, 2015",180,123,591,0,0,5.1,21,28,2
"Monday, February 23, 2015",152,82,571,0,0,5.1,4,12,-4
"Tuesday, February 24, 2015",192,86,627,0.01,0.1,5.1,11,29,4
"Wednesday, February 25, 2015",179,80,570,0.17,2,5.1,21,26,10
"Thursday, February 26, 2015",170,67,515,0.17,3.7,9.8,17,19,0
"Friday, February 27, 2015",200,87,637,0,0,9.8,6,14,-2
"Saturday, February 28, 2015",168,99,545,0.02,0.4,9.1,6,21,-10
"Sunday, March 1, 2015",202,149,746,0,0,9.1,18,25,10
"Monday, March 2, 2015",212,106,658,0,0,7.9,21,33,13
"Tuesday, March 3, 2015",191,100,632,0.13,0.7,9.1,28,34,24
"Wednesday, March 4, 2015",169,89,558,0,0,7.9,24,31,10
"Thursday, March 5, 2015",196,99,612,0,0,7.1,12,16,3
"Friday, March 6, 2015",225,106,710,0,0,7.1,12,27,0
"Saturday, March 7, 2015",207,115,695,0,0,7.1,32,44,24
"Sunday, March 8, 2015",219,119,625,0,0,3.9,35,40,28
"Monday, March 9, 2015",216,109,725,0,0,3.9,37,50,25
"Tuesday, March 10, 2015",217,110,753,0,0,0,40,51,35
"Wednesday, March 11, 2015",224,95,740,0,0,0,42,51,30
"Thursday, March 12, 2015",243,111,748,0,0,0,42,56,28
"Friday, March 13, 2015",245,103,811,0,0,0,47,65,37
"Saturday, March 14, 2015",230,138,796,0,0,0,51,60,37
"Sunday, March 15, 2015",201,150,775,0,0,0,45,62,29
"Monday, March 16, 2015",217,106,778,0,0,0,58,73,42
"Tuesday, March 17, 2015",228,94,692,0,0,0,45,45,28
"Wednesday, March 18, 2015",215,96,687,0,0,0,37,50,28
"Thursday, March 19, 2015",219,99,716,0,0,0,42,46,37
"Friday, March 20, 2015",224,119,774,0,0,0,42,50,38
"Saturday, March 21, 2015",200,120,689,0,0,0,42,49,32
"Sunday, March 22, 2015",209,133,655,0.02,0.2,0,32,35,26
"Monday, March 23, 2015",180,110,592,0.61,5.6,2,29,31,28
"Tuesday, March 24, 2015",192,91,638,0.04,0,5.1,30,37,19
"Wednesday, March 25, 2015",233,110,722,0.25,0,2,37,41,35
"Thursday, March 26, 2015",210,98,682,0,0,0,37,42,31
"Friday, March 27, 2015",240,107,724,0.04,0.6,1.2,29,31,21
"Saturday, March 28, 2015",198,116,657,0,0,0,27,36,20
"Sunday, March 29, 2015",192,124,619,0.01,0,0,32,47,24
"Monday, March 30, 2015",216,121,717,0,0,0,46,61,34
"Tuesday, March 31, 2015",211,112,690,0,0,0,49,58,39
"Wednesday, April 1, 2015",237,138,909,0,0,0,52,72,35
"Thursday, April 2, 2015",235,118,791,0.36,0,0,58,65,50
"Friday, April 3, 2015",226,125,708,0,0,0,50,53,30
"Saturday, April 4, 2015",207,127,692,0,0,0,40,58,28
"Sunday, April 5, 2015",171,148,671,0,0,0,53,66,36
"Monday, April 6, 2015",198,116,675,0.04,0,0,45,62,34
"Tuesday, April 7, 2015",176,92,603,0,0,0,40,46,38
"Wednesday, April 8, 2015",182,112,679,0.05,0,0,44,50,40
"Thursday, April 9, 2015",181,95,646,1.41,0,0,51,71,41
"Friday, April 10, 2015",196,99,711,0,0,0,53,62,39
"Saturday, April 11, 2015",199,122,719,0,0,0,48,62,38
"Sunday, April 12, 2015",212,166,773,0,0,0,55,68,41
"Monday, April 13, 2015",179,119,732,0.22,0,0,60,65,49
"Tuesday, April 14, 2015",217,117,764,0,0,0,56,66,39
"Wednesday, April 15, 2015",169,130,797,0,0,0,54,64,43
"Thursday, April 16, 2015",205,110,683,0,0,0,53,66,45
"Friday, April 17, 2015",228,111,784,0,0,0,60,78,45
"Saturday, April 18, 2015",223,135,767,0,0,0,60,65,47
"Sunday, April 19, 2015",218,145,702,0.46,0,0,56,68,48
"Monday, April 20, 2015",213,125,742,0.01,0,0,49,52,41
"Tuesday, April 21, 2015",187,106,661,0,0,0,44,54,38
"Wednesday, April 22, 2015",178,104,682,0,0,0,40,46,34
"Thursday, April 23, 2015",209,99,730,0,0,0,42,55,32
"Friday, April 24, 2015",184,117,760,0.16,0,0,44,57,29
"Saturday, April 25, 2015",187,130,695,0.16,0,0,44,48,39
"Sunday, April 26, 2015",179,130,716,0,0,0,45,56,35
"Monday, April 27, 2015",172,121,719,0,0,0,46,55,38
"Tuesday, April 28, 2015",185,123,718,0,0,0,46,58,35
"Wednesday, April 29, 2015",205,112,764,0,0,0,50,61,38
"Thursday, April 30, 2015",180,89,663,0,0,0,46,51,38
"Friday, May 1, 2015",214,130,924,0,0,0,50,67,38
"Saturday, May 2, 2015",176,132,684,0,0,0,62,76,50
"Sunday, May 3, 2015",161,159,745,0.42,0,0,67,78,55
"Monday, May 4, 2015",200,130,776,0,0,0,65,74,55
